index	sentence	label
43	Prenatal cytomegalovirus ( CMV ) infection associated with severe @Disease$ was detected in an infant whose mother had been treated with prednisolone and @Chemical$ for systemic lupus erythematosus ( SLE ).	1
44	"Data Sources: We searched PubMed, Embase, CENTRAL, and ClinicalTrials.gov from inception to May 28, 2018, with the terms novel oral anticoagulants, non-vitamin K antagonist oral anticoagulants, direct oral anticoagulants, dabigatran, rivaroxaban, apixaban, edoxaban, warfarin, Coumadin, vitamin K antagonist, aspirin, @Chemical$, or ASA, and major bleeding, fatal bleeding, or @Disease$."	0
45	"RESULTS: Overall, 386 patients were enrolled; 57% used NSAIDs (51% @Chemical$ only) and 43% were non-users. 57% of the whole cohort was H. pylori-positive (including 66% with duodenal ulcers and 47% with gastric @Disease$)."	0
46	Administration of intravenous @Chemical$ in a patient with idiopathic pulmonary hypertension resulted in an @Disease$ associated with a decrease in blood flow that is best explained by an increase in pulmonary vascular resistance.	1
47	CONCLUSION : Significant @Disease$ is a potential adverse event in patients with rheumatoid arthritis treated with @Chemical$.	1
48	"Three patients, in whom tumour overkill by cytotoxic treatment, including high dose methotrexate with @Chemical$ rescue, resulted in the' @Disease$' ( hyper-uricaemia, hyperkalaemia and hyperphosphataemia with hypocalcaemia and tetany, with metabolic acidosis and acute renal impairment ) are described."	1
49	"Here we describe a patient with Crohn's disease who developed a severe @Chemical$ infusion reaction ( IIR ), complicated 1 day later by @Disease$ to the site of infliximab infusion."	1
50	"Data Sources: We searched PubMed, Embase, CENTRAL, and ClinicalTrials.gov from inception to May 28, 2018, with the terms novel oral anticoagulants, non-vitamin K antagonist oral anticoagulants, direct oral anticoagulants, dabigatran, rivaroxaban, apixaban, edoxaban, warfarin, Coumadin, vitamin K antagonist, @Chemical$, acetylsalicylic acid, or ASA, and major bleeding, fatal @Disease$, or intracranial hemorrhage."	0
51	@Chemical$-associated @Disease$.	1
52	CASES : Two postmenopausal women treated with @Chemical$ and progestational agents for breast carcinoma developed @Disease$ and intermittent spotting.	1
53	"DATA SYNTHESIS : Genetic deficiencies in DPD, the rate-limiting enzyme responsible for 5-FU catabolism, may occur in 3 % or more of patients with cancer putting them at increased risk for unusually severe adverse reactions ( e.g., diarrhea, @Disease$, mucositis, myelosuppression, neurotoxicity ) to standard doses of @Chemical$."	1
54	"CONCLUSIONS: Use of @Chemical$, low GCS score, opening to ventricle, older age, accompanying @Disease$, and/or hypertension were worse prognostic factors."	0
55	"CONCLUSION: On the basis of the present studies, it cannot be unequivocally said whether @Chemical$ influences @Disease$ and if people endangered with AMD progression or who are diagnosed with AMD should use this drug."	0
56	@Disease$ associated with @Chemical$ ( granulocyte-macrophage colony stimulating factor ) treatment.	1
57	Proton-pump inhibitor and @Chemical$ antagonist were effective for prevention of upper @Disease$ in patients receiving low-dose aspirin.	0
58	We conclude that neurosurgeons and neurologists should be aware of calcium antagonist -- related @Disease$ in patients treated with @Chemical$.	1
59	Cerebrovascular complications of @Chemical$ therapy in children with leukemia : aphasia and other @Disease$.	1
60	"METHODS AND RESULTS: Twenty-two consecutive patients with OHCA of cardiac origin were prospectively included after therapeutic hypothermia and randomized to receive @Chemical$ 100mg per day, either intravenously (n=13) or orally via a @Disease$ (n=9)."	0
61	We investigated whether injury was correlated with platelet function and gastric juice pH in 45 patients with @Disease$ administered @Chemical$ daily (study 2).	0
62	We describe a 57-year-old man with acral erythrocyanosis progressing to acute digital ischemia and @Disease$ that developed after combined chemotherapy ( bleomycin and @Chemical$ ) used to treat a metastatic squamous cell carcinoma of the hypopharynx.	1
63	This confirmed the history of @Chemical$-related @Disease$.	1
64	"Omeprazole appears to be very effective in reducing both acute gastroduodenal mucosal damage and upper @Disease$ bleeding in the high-risk patient taking low-dose @Chemical$, but data with other anti-ulcer agents are lacking (misoprostol) or inconsistent (ranitidine) at present."	0
65	Severe @Chemical$-induced @Disease$ following intravitreal injection of triamcinolone acetonide.	1
66	Comparison of teprenone and @Chemical$ against @Disease$ in patients taking low-dose aspirin.	0
67	Ophthalmologists should be aware of the ocular side effects of @Chemical$ therapy and carefully monitor patients for the possible occurrence of @Disease$ and thrombocytopenia.	1
68	"In the study, 100 patients with low on-treatment platelet aggregation and at high risk of bleeding and low risk of cardiovascular events, were switched to @Chemical$ (40 mg/d) and their platelet aggregation was measured again 7 days later.Their bleeding and @Disease$ were also recorded in following 3 months."	0
69	RESULTS: The rare allele frequency of the -344C&gt;T polymorphism was significantly higher in the patients with AICU compared with the other subjects (P= .008 for AICU vs @Chemical$-tolerant chronic @Disease$; P= .03 for AICU vs controls).	0
70	@Disease$ following administration of @Chemical$ ( Kalimate ) in a uremic patient.	1
71	"Compared with the use of @Chemical$ alone, combined use of coxib and aspirin for 3 years increased the risk of a colorectal neoplasm by 80% in the fifth year (RR = 1.80, 95% CI 1.22-2.66; P = 0.003) but decreased by 79% and 30%, respectively, the risks of cardiovascular thromboembolic events (RR = 1.79, 95% CI 1.33-2.41; P = 0.0001) and @Disease$ (RR = 1.30, 95% CI 1.09-1.54; P = 0.003) caused by coxib use alone."	0
72	"Acute INH neurotoxicity was not suspected on the first admission; however, when readmitted 4 weeks later with another seizure, the diagnosis of acute @Chemical$ @Disease$ was made."	1
73	The objective of this review was to evaluate the effect of preoperative @Chemical$ on @Disease$ in patients undergoing elective bypass surgery.	0
74	"We discuss a patient who developed severe renal tubular dysfunction secondary to short-term therapy with @Chemical$, resulting in refractory hypokalemia, hypocalcemia, hypomagnesemia, @Disease$, and polyuria."	1
75	We present here a female patient who developed @Disease$ within minutes of i.v. @Chemical$ injection and recovered within 24 hours of stopping the drug and with symptomatic treatment.	1
76	"This report describes a case of Kounis-Zavras syndrome in the setting of aspirin-induced asthma also known as Samter-Beer triad combining nasal @Disease$, asthma, and @Chemical$ allergy leading to vasospasm and myocardial infarction."	0
77	Severe @Disease$ following massive ingestion of oolong tea : @Chemical$ intoxication with coexisting hyponatremia.	1
78	CONCLUSIONS : This case suggests that @Chemical$ can induce late-onset @Disease$ in patients with normal renal function and that the reaction can recur after initial resolution of the symptoms.	1
79	"The lowest stroke/SE rates and major bleed rates were observed in warfarin time in therapeutic range (TTR) &gt;=55% episodes (@Disease$/SE: 0.87 [0.71 to 1.04]; major bleed: 4.91 [4.53 to 5.28] per 100 person-years), which was similar to the bleed rate in @Chemical$ episodes (4.95 [4.58 to 5.32] per 100 person-years)."	0
80	@Disease$ during @Chemical$ therapy in rheumatoid arthritis.	1
81	"Currently, @Disease$ randomised control trial data exists to recommend universal use or avoidance of @Chemical$ for primary prevention of cardiovascular events in CKD."	0
82	"To date, eight cases of @Disease$ and one of SJS related to @Chemical$ administration have been reported in the literature."	1
83	We have cared for three children in whom four episodes of @Disease$ proceeding to opisthotonus occurred in association with @Chemical$ use.	1
84	BACKGROUND &@Chemical$; AIMS: Effervescent calcium carbasalate is a calcium-salt of acetylsalicylic acid causing less local @Disease$ than acetylsalicylic acid at high doses in healthy controls.	0
85	Symptoms and @Disease$ quickly regressed within 1 week of @Chemical$ withdrawal.	1
86	OBJECTIVES: To study whether @Chemical$-Aspirin combined treatment for high risk transient ischaemic attack (TIA) or minor stroke results in increased number of lesions associated with anti-@Disease$ (CMB) than aspirin alone treatment.	0
87	@Chemical$ resistance may increase death risk in some patients with @Disease$.	0
88	Their @Disease$ improved on discontinuation of @Chemical$ therapy.	1
89	The site of thrombosis and the chronological relationship with the IIR implicates a @Disease$ to @Chemical$ in the causation of the venous thrombosis in this case.	1
90	@Disease$ secondary to @Chemical$ use : a case report.	1
91	The patient suffered a @Disease$ to @Chemical$.	1
92	"To our knowledge, these cases are the first published reports of lovastatin-induced @Disease$ associated with azithromycin and @Chemical$."	1
93	Treatment of @Chemical$ exacerbated @Disease$ with a low salicylate diet: a pilot crossover study.	0
94	"After a second dose of @Chemical$, these symptoms recurred and were associated with @Disease$, agitation, fever, diaphoresis, tachypnea, tachycardia, and hypertension."	1
95	The trend towards increased @Disease$ with warfarin appears to be explained by an excess of intracranial bleeding in @Chemical$ patients.	0
96	"A retrospective epidemiological study of deaths from @Disease$ ( HAS ) in the U.S. showed that during 1964--74 there were 168 such cases, of which 37 ( 22 % ) were associated with previously known causes ( vinyl chloride,' @Chemical$', and inorganic arsenic ) and 4 ( 3.1 % ) of the remaining 131 cases with the use of androgenic-anabolic steroids."	1
97	"We report an additional case of @Chemical$ @Disease$ in which the patient had agenesis of the cerebellar vermis, multiple leptomeningeal neuroglial heterotopias, hydrocephalus, and abnormalities of the corticospinal tracts."	1
98	METHODS : Two patients with exudative age-related macular degeneration were treated sequentially with an intravitreal injection of @Chemical$ and developed signs of severe but @Disease$ 2 days later.	1
99	"Two cohorts (N = 170,336 each) aged 40-89 years from 2000 to 2009 and free of @Disease$ were identified: i) new-users of low-dose @Chemical$, ii) non-users of low-dose aspirin, at start of follow-up, matched by age, sex and previous primary care practitioner visits."	0
100	RESULTS : A 44-year-old man taking naproxen for chronic low back pain and a 20-year-old woman on @Chemical$ for rheumatoid arthritis presented with @Disease$ and cutaneous fragility on the face and the back of the hands.	1
101	"We report in detail an unusual adverse reaction to @Chemical$ therapy, a drug-induced @Disease$."	1
102	Dual antiplatelet therapy with ASA and clopidogrel increases the risk of @Disease$ in patients with acute coronary syndrome in whom concomitant treatment with a proton-pump inhibitor (PPI) was less effective owing to the interaction of @Chemical$ and PPI with the same hepatic cytochrome P-450.	0
103	"Herein, we describe 2 patients who developed unusual @Disease$ after treatment with @Chemical$ and infliximab."	1
104	"@Disease$ developed in two children with acute lymphoblastic leukemia during induction treatment with vincristine sulfate, @Chemical$, and asparaginase."	1
105	RESULTS : A male and a female patient with spasticity treated with intrathecal @Chemical$ were recognized to have @Disease$ side effects from treatment.	1
106	Modification of outcomes with aspirin or @Chemical$ in relation to female and male sex in patients with @Disease$: a secondary analysis of the AVERROES study.	0
107	OBJECTIVES: Whether @Chemical$ should be added to aspirin for @Disease$ prevention remained controversial for the risk of hemorrhagic complications.	0
108	@Disease$ induced by sodium polystyrene sulphonate ( @Chemical$ ) in two extremely low birth weight newborns.	1
109	"The main models included the following predictors: demographic characteristics (age, ethnicity, and socioeconomic deprivation), clinical measurements (systolic blood pressure and ratio of total-high-density lipoprotein cholesterol), family history of premature CVD, medical history (smoking, @Disease$, bleeding, peptic ulcer disease, cancer, chronic liver disease, chronic pancreatitis, or @Chemical$-related conditions), and medication use (nonsteroidal anti-inflammatory agents, corticosteroids, and selective serotonin reuptake inhibitors)."	0
110	Six patients with no previous signs or symptoms suggestive of coronary artery disease developed @Disease$ / infarction shortly after @Chemical$ ( cisplatin ) -based chemotherapy.	1
111	"CONCLUSION: In addition to age, male gender, H. pylori @Disease$, and concomitant use of NSAIDs, COX-2 inhibitors, steroids, and thienopyridines, underlying co-morbidities including diabetes, CKD, cirrhosis, history of PUD are also important risk factors for first-time occurrence of non-variceal UGIB in @Chemical$ users."	0
112	"Although it is still controversial whether @Chemical$ modifiers are more effective in patients with @Disease$ compared with other types of asthma, because LT plays an important role in the pathogenesis of AIA, leukotriene modifiers are the preferred medication for the long-term control of AIA."	0
113	"Of the four patients who responded to @Chemical$ with an @Disease$, all reported symptomatic improvement and three have not required further transfusions."	1
114	"We introduce a case of a sixty years old woman with several previous episodes of rhinitis, conjunctivitis and @Disease$ immediately after the administration of salmon calcitonin with nasal spray or intramuscular administration ( @Chemical$ )."	1
115	"BACKGROUND: Aspirin-exacerbated @Disease$ (AERD) is a clinical syndrome characterized by chronic rhinitis, nasal polyps, asthma, and precipitation of asthma and rhinitis attacks after ingestion of @Chemical$ (ASA) and most nonsteroidal anti-inflammatory drugs (NSAIDs)."	0
116	Finally one recent retrospective cohort study revealed similar @Disease$ rates between ASA-treated and non-ASA-treated patients but increased cardiac complication rates in the @Chemical$ group.	0
117	"Although major or minor @Disease$ was common (12.6%), only 1.0% of @Chemical$-treated patients were reported to discontinue due to bleeding."	0
118	@Disease$ due to @Chemical$ therapy for malaria has frequently been mentioned in the literature but has not been a subject of research during the last decades.	1
119	"The authors present an elderly patient with mixed dementia who developed TD at multiple sites, ( including respiratory dyskinesia [ RD ], @Disease$, and orofacial dyskinesia ) following abrupt withdrawal of @Chemical$ therapy."	1
120	A study was undertaken to investigate the effects of aspirin on the systemic production of @Chemical$ and cysteinyl leucotrienes in patients with @Disease$.	0
121	A case of @Disease$ in a patient on Efalizumab and @Chemical$ for treatment of refractory palmopustular psoriasis and psoriatic arthritis.	1
122	The results clearly demonstrate that @Chemical$ was associated with @Disease$ with a concomitant paradoxical picture of clinical hypercortisolism.	1
123	@Chemical$-induced @Disease$ ( DRESS ).	1
124	"After @Chemical$, gastric blood flow (GBF) was determined by H2 gas clearance technique and @Disease$ were assessed by planimetry and histology."	0
125	"A high dose of @Chemical$ induced hyperkalaemia with the elevation of serum creatinine and blood urea, and increased urinary N-acetyl glucosaminase after several days of the drug administration in these patients; @Disease$."	1
126	"INTRODUCTION: Clinical features of @Chemical$-exacerbated respiratory disease (@Disease$) consist of moderate to severe asthma associated with chronic rhinosinusitis (CRS), which are derived from overproduction of cysteinyl leukotrienes along with chronic type 2 mediated inflammation in the upper and lower airway mucosa."	0
127	Multiple myeloma complicated by @Disease$ following first administration of @Chemical$.	1
128	"Among patients with H. pylori infection and a history of @Disease$ bleeding who continue to use low-dose @Chemical$, 1 week of eradication therapy prevents recurrent ulcer bleeding."	0
129	@Chemical$-induced @Disease$ responsive to sodium bicarbonate -- a case report.	1
130	"After multivariate adjustment for age, sex, current smoking, history of hypertension and @Disease$, and @Chemical$ dose (aspirin-treated patients only), the hazard ratio for ICH in patients with an arterial versus a cardiac source was 0.74 (95% confidence interval, 0.30 to 1.82) for aspirin-treated patients and 4.34 (95% confidence interval, 0.35 to 54) for placebo-randomized patients."	0
131	"@Chemical$ is an atypical antipsychotic drug that is believed to have a low propensity for inducing extrapyramidal symptoms, including tardive dyskinesia ( @Disease$ )."	1
132	@Chemical$ for prophylactic use in the primary prevention of @Disease$ and cancer: a systematic review and overview of reviews.	0
133	"Similar to reports in patients receiving gefitinib, those with pathologic findings of UIP on resected lung specimens or known pulmonary fibrosis may be at particular risk for @Chemical$ @Disease$."	1
134	"A 51-yr-old nonsmoking male patient without any history of previous allergies, asthma, hay fever, or urticaria developed @Disease$ when @Chemical$ was added to the nadolol and dyazide treatment for his high blood pressure."	1
135	"Factors associated with an increased risk of upper GI complications during low-dose @Chemical$ therapy include aspirin dose, history of ulcer or upper GI bleeding, age &gt; 70 years, concomitant use of NSAIDs (including COX-2-selective NSAIDs), and @Disease$."	0
136	"RESULTS: @Disease$ was 221 ml in the @Chemical$ group and 140.16 ml in the control group, showing no statistical difference (p = 0.08)."	0
137	@Disease$ and acute renal failure associated with intravenous @Chemical$ infusion.	1
138	"We aimed to evaluate the association between several widely used analgesics, including aspirin, non-@Chemical$ NSAIDs, and acetaminophen (paracetamol), and risk of @Disease$ and psoriatic arthritis (PsA) in a large cohort of US women, the Nurses' Health Study II (1991-2005)."	0
139	"Patients undergoing TKA treated with LMWH had higher rates of systemic @Disease$ or a complication secondary to @Chemical$ administration (2.8% for LMWH versus 0% for mobile compression; p = 0.022; OR, 12.8)."	0
140	Two of the five patients who worsened motorically also developed @Disease$ during @Chemical$ treatment; the encephalopathy resolved when the patients were switched to clozapine treatment.	1
141	"In this article lithium is not discussed, although there are a number of concerns about @Chemical$'s potential @Disease$, and it has been implicated in Epstein's anomaly, a congenital heart defect among infants born to women taking lithium; as with other medications, however, the data have specific limitations."	1
142	@Disease$ following @Chemical$ administration in preeclampsia.	1
143	Knowledge regarding potential adverse effects of @Chemical$ is paramount and dose modification is indicated with development of @Disease$.	1
144	Reversible findings of restricted diffusion in @Chemical$ @Disease$.	1
145	@Disease$ secondary to epithelial downgrowth and @Chemical$.	1
146	@Disease$ from a meningioma in a patient receiving @Chemical$ prophylaxis : a case report.	1
147	"METHOD : Case analysis of a poly-drug overdose ( venlafaxine, topiramate, divalproex sodium, @Chemical$, and carbamazepine ) presenting with mixed @Disease$ / NMS features and whose clinical management suggests a practical algorithm for treatment of undifferentiated SS / NMS in critical care settings."	1
148	We report a case of @Disease$ ( intrahepatic stone ) complicated by gram-negative sepsis in a 37 year old male with acromegaly being treated with @Chemical$.	1
149	"The important factors that increase the risk of low-dose aspirin-related ulcer complications include a history of bleeding peptic @Disease$, prior peptic ulcer, age &gt; 70 years, H pylori infection, and concomitant drug therapy with non-steroidal anti-inflammatory drugs, other antiplatelet agents (e.g., @Chemical$) or anticoagulants."	0
150	"On the fifth day of tocolysis with @Chemical$, nifedipine, terbutaline and betamethasone, @Disease$ developed in both labia."	1
151	"Compared to women who did not use either aspirin or other non-aspirin NSAIDs, women using @Chemical$ exclusively (RR = 1.71; 95% CI = 0.94-3.13), non-aspirin NSAIDs exclusively (RR = 2.39; 95% CI = 1.18-4.83), or both types of drugs (RR = 1.97; 95% CI = 1.06-3.68) were at increased risk of @Disease$."	0
152	"This paper reports on a 6.9-year-old autistic male who developed repeated episodes of @Disease$ associated with pimozide administration at the doses of 0.096 mg / kg / day and 0.032 mg / kg / day and 32 hours following @Chemical$ withdrawal, as well as during subsequent thioridazine administration."	1
153	"The possibility of @Chemical$ hypersensitivity reactions should be considered when patients receiving phenytoin have unusual symptoms, particularly fever, rash, and @Disease$."	1
154	The effects of inhaled aspirin on fractional exhaled NO (FENO) in patients with aspirin-tolerant (ATA) and @Chemical$-inducible (AIA) @Disease$ compared with normal controls have been investigated.	0
155	"RESULTS: In 674 @Disease$, we found that the odds ratio for the presence of erosive oesophagitis in @Chemical$ users was 2 (95% CI, 1-3; P = 0.03) and 3 (2-5; P = 0.0003) in patients taking other antithrombotic agents."	0
156	"CONCLUSIONS : The value of multihormonal therapy in breast carcinoma is not established, and the addition of progestogens to @Chemical$ may not reduce of developing @Disease$, including carcinoma."	1
157	Ceftriaxone was approved in 1997 for the treatment of otitis media despite previous studies that documented an association of @Chemical$ with @Disease$ and transient biliary stasis.	1
158	CONCLUSIONS: Daily @Chemical$ 20 mg is efficacious and well tolerated in reducing the recurrence of peptic ulcer in East-Asian patients with a history of @Disease$s who are taking low-dose ASA for cardiovascular protection.	0
159	A MEDLINE search identified all the reported cases of @Disease$ to @Chemical$.	1
160	"The most common side effects associated with @Chemical$ are nausea, @Disease$, hypotension, hypocalcemia and allergic reactions."	1
161	AIM: To determine @Disease$ prevalence and incidence in a population representative of those given @Chemical$ therapy and evaluate risk predictors.	0
162	Ophthalmologists should be aware of the @Disease$ of @Chemical$ therapy and carefully monitor patients for the possible occurrence of hypoalbuminemia and thrombocytopenia.	1
163	"CASE SUMMARY : A 65-year-old patient chronically treated with the selective serotonin reuptake inhibitor ( SSRI ) @Chemical$ developed confusion, agitation, tachycardia, tremors, @Disease$ and unsteady gait, consistent with serotonin syndrome, following initiation of fentanyl, and all symptoms and signs resolved following discontinuation of fentanyl."	1
164	@Disease$ in a child with @Chemical$ hypersensitivity.	1
165	"Considering the available evidence, the majority of national scientific societies agree that the isolated use of @Chemical$ does not increase the risk of @Disease$ and does not represent a contraindication to neuraxial blocks."	0
166	"Post-ESD @Disease$ occurred in 4.1% (21/514) overall, and was more frequent in continuous @Chemical$ users (4/19 [21.1%]) than in those who never used aspirin (15/439 [3.4%]) (P=0.006) and those with interrupted aspirin use (2/56 [3.6%]) (P=0.033)."	0
167	"The more common grade 3 or 4 adverse effects of @Chemical$ include hypertension, fatigue, @Disease$, elevated lipase and lymphopenia."	1
168	OBJECTIVE: To investigate the functional variability of HNMT gene in relation to genetic polymorphisms in patients with @Chemical$ intolerant chronic @Disease$ (AICU).	0
169	"Occasionally, despite good therapeutic response, @Chemical$ must be stopped due to dangerous side effects such as @Disease$."	1
170	An episode of subacute @Disease$ after the infusion of a moderate dose of @Chemical$ ( 1500 mg / m2 ) ( MTX ) is reported in a young adult with metastastic gastric cancer.	1
171	A 56-year-old Caucasian man who received concomitant chemotherapy and radiation for head and neck cancer developed @Disease$ concurrent with the administration of @Chemical$.	1
172	@Chemical$ sensitivity and IgE antibodies to @Disease$ in nasal polyposis: studies on the relationship.	0
173	"We introduce a case of a sixty years old woman with several previous episodes of @Disease$, conjunctivitis and perspiration immediately after the administration of salmon calcitonin with nasal spray or intramuscular administration ( @Chemical$ )."	1
174	CONCLUSIONS : Clinicians should be aware that @Disease$ is a potential novel adverse drug effect of @Chemical$.	1
175	"We report a case of @Disease$ associated with @Chemical$ and masquerading as a surgical abdomen and compare the clinical, biologic, histologic, and ultrastructural findings with reports described previously."	1
176	"METHOD: We classified 1,041 gastroduodenal ulcer patients into three groups [patients taking LDA (group A), patients taking nonaspirin nonsteroidal anti-inflammatory drug (NSAID) (group N), and patients taking neither @Chemical$ nor nonaspirin NSAID (group C)] and 241 bleeding gastroduodenal @Disease$ patients into three corresponding groups (groups a, n, and c)."	0
177	"RESULTS: At 4 weeks after randomization, 34 of the 73 patients assigned to @Chemical$ therapy (47%) as compared with 30 of the 70 patients given placebo (43%) reported complete @Disease$ symptom relief (P = 0.54)."	0
178	@Chemical$ is a macrolide antibiotic that may increase the risk of lovastatin-induced @Disease$.	1
179	CONCLUSIONS: Desensitization may be safely performed in patients with reported ASA or NSAID @Disease$ and a cardiac indication for @Chemical$.	0
180	"The side effects of @Chemical$, such as @Disease$, have been reported."	1
181	Sinonasal outcomes after endoscopic sinus surgery in @Disease$tic patients with nasal polyps: a difference between @Chemical$-tolerant and aspirin-induced asthma?	0
